Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
Date,Interest rate
1991-01-02,6.74
1991-02-01,6.27
1991-03-01,6.52
1991-04-01,6.27
1991-05-01,6.09
1991-06-03,6.27
1991-07-01,6.38
1991-08-01,6.23
1991-09-02,5.72
1991-10-01,5.42
1991-11-01,5.03
1991-12-02,4.68
1992-01-01,4.12
1992-02-03,4.23
1992-03-02,4.50
1992-04-01,4.48
1992-05-01,4.28
1992-06-01,4.32
1992-07-01,4.04
1992-08-03,3.61
1992-09-01,3.45
1992-10-01,2.96
1992-11-02,3.62
1992-12-01,3.86
1993-01-04,3.56
1993-02-01,3.40
1993-03-01,3.30
1993-04-01,3.32
1993-05-03,3.22
1993-06-01,3.55
1993-07-01,3.41
1993-08-02,3.58
1993-09-01,3.36
1993-10-01,3.35
1993-11-01,3.53
1993-12-01,3.62
1994-01-03,3.67
1994-02-01,3.60
1994-03-01,4.16
1994-04-04,4.83
1994-05-02,5.12
1994-06-01,5.36
1994-07-01,5.50
1994-08-01,5.40
1994-09-01,5.56
1994-10-03,6.06
1994-11-01,6.25
1994-12-01,6.94
1995-01-03,7.23
1995-02-01,6.97
1995-03-01,6.44
1995-04-03,6.45
1995-05-01,6.32
1995-06-01,5.68
1995-07-03,5.63
1995-08-01,5.71
1995-09-01,5.60
1995-10-02,5.65
1995-11-01,5.46
1995-12-01,5.33
1996-01-02,5.17
1996-02-01,4.88
1996-03-01,5.07
1996-04-01,5.41
1996-05-01,5.60
1996-06-03,5.78
1996-07-01,5.74
1996-08-01,5.74
1996-09-03,5.94
1996-10-01,5.65
1996-11-01,5.46
1996-12-02,5.40
1997-01-02,5.63
1997-02-03,5.54
1997-03-03,5.68
1997-04-01,6.00
1997-05-01,5.89
1997-06-02,5.78
1997-07-01,5.64
1997-08-01,5.52
1997-09-02,5.57
1997-10-01,5.44
1997-11-03,5.44
1997-12-01,5.56
1998-01-02,5.46
1998-02-02,5.26
1998-03-02,5.43
1998-04-01,5.37
1998-05-01,5.41
1998-06-01,5.40
1998-07-01,5.37
1998-08-03,5.37
1998-09-01,4.87
1998-10-01,4.28
1998-11-02,4.33
1998-12-01,4.46
1999-01-04,4.58
1999-02-01,4.58
1999-03-01,4.91
1999-04-01,4.73
1999-05-03,4.79
1999-06-01,5.09
1999-07-01,5.09
1999-08-02,5.15
1999-09-01,5.30
1999-10-01,5.30
1999-11-01,5.47
1999-12-01,5.73
2000-01-03,6.09
2000-02-01,6.30
2000-03-01,6.17
2000-04-03,6.23
2000-05-01,6.24
2000-06-01,6.32
2000-07-03,6.07
2000-08-01,6.09
2000-09-01,6.18
2000-10-02,6.06
2000-11-01,6.10
2000-12-01,5.93
2001-01-02,5.11
2001-02-02,4.67
2001-03-01,4.45
2001-04-02,4.10
2001-05-01,3.91
2001-05-31,3.63
2001-07-02,3.74
2001-08-01,3.56
2001-09-04,3.55
2001-10-01,2.47
2001-11-01,2.10
2001-12-03,2.08
2002-01-02,2.28
2002-02-01,2.22
2002-03-01,2.33
2002-04-01,2.76
2002-05-01,2.33
2002-06-03,2.35
2002-07-01,2.09
2002-08-01,1.75
2002-09-03,1.71
2002-10-01,1.56
2002-11-01,1.46
2002-12-02,1.56
2003-01-02,1.42
2003-02-03,1.34
2003-03-03,1.26
2003-04-01,1.16
2003-05-01,1.21
2003-06-02,1.15
2003-07-01,1.07
2003-08-01,1.31
2003-09-02,1.39
2003-10-01,1.13
2003-11-03,1.33
2003-12-01,1.41
2004-01-02,1.31
2004-02-02,1.29
2004-03-01,1.23
2004-04-01,1.23
2004-05-03,1.60
2004-06-01,1.89
2004-07-01,2.07
2004-08-02,2.12
2004-09-01,1.99
2004-10-01,2.21
2004-11-01,2.34
2004-12-01,2.60
2005-01-03,2.79
2005-02-01,2.95
2005-03-01,3.20
2005-04-01,3.34
2005-05-02,3.34
2005-06-01,3.25
2005-07-01,3.51
2005-08-01,3.83
2005-09-01,3.66
2005-10-03,4.09
2005-11-01,4.31
2005-12-01,4.36
2006-01-03,4.38
2006-02-01,4.60
2006-03-01,4.74
2006-04-03,4.86
2006-05-01,4.97
2006-06-01,5.05
2006-07-03,5.26
2006-08-01,5.11
2006-09-01,4.99
2006-10-02,4.90
2006-11-01,4.95
2006-12-01,4.87
2007-01-02,5
2007-02-01,5.09
2007-03-01,4.95
2007-04-02,4.92
2007-05-01,4.89
2007-06-01,4.98
2007-07-02,4.97
2007-08-01,4.82
2007-09-04,4.39
2007-10-01,4.11
2007-11-01,3.89
2007-12-03,3.15
2008-01-02,3.17
2008-02-01,2.13
2008-03-03,1.74
2008-04-01,1.62
2008-05-01,1.94
2008-06-02,2.17
2008-07-01,2.38
2008-08-01,2.25
2008-09-02,2.12
2008-10-01,1.72
2008-11-03,1.31
2008-12-01,0.81
2009-01-02,0.40
2009-02-02,0.51
2009-03-02,0.67
2009-04-02,0.59
2009-05-01,0.49
2009-06-01,0.48
2009-07-01,0.54
2009-08-03,0.48
2009-09-01,0.43
2009-10-01,0.37
2009-11-02,0.38
2009-12-01,0.26
2010-01-04,0.45
2010-02-01,0.33
2010-03-01,0.32
2010-04-01,0.42
2010-05-03,0.43
2010-06-01,0.35
2010-07-01,0.32
2010-08-02,0.28
2010-09-01,0.25
2010-10-01,0.26
2010-11-01,0.22
2010-12-01,0.28
2011-01-03,0.29
2011-02-01,0.27
2011-03-01,0.25
2011-04-01,0.27
2011-05-02,0.22
2011-06-01,0.18
2011-07-01,0.20
2011-08-01,0.22
2011-09-01,0.10
2011-10-03,0.12
2011-11-01,0.13
2011-12-01,0.12
2012-01-03,0.12
2012-02-01,0.13
2012-03-01,0.18
2012-04-02,0.18
2012-05-01,0.19
2012-06-01,0.17
2012-07-02,0.21
2012-08-01,0.17
2012-09-04,0.16
2012-10-01,0.17
2012-11-01,0.18
2012-12-03,0.18
2013-01-02,0.15
2013-02-01,0.15
2013-03-01,0.16
2013-04-01,0.14
2013-05-01,0.11
2013-06-03,0.14
2013-07-01,0.15
2013-08-01,0.13
2013-09-03,0.14
2013-10-01,0.10
2013-11-01,0.10
2013-12-02,0.13
2014-01-02,0.13
2014-02-03,0.11
2014-03-03,0.12
2014-04-01,0.13
2014-05-01,0.10
2014-06-02,0.10
2014-07-01,0.11
2014-08-01,0.13
2014-09-02,0.10
2014-10-01,0.10
2014-11-03,0.12
2014-12-01,0.13
2015-01-02,0.25
2015-02-02,0.17
2015-03-02,0.22
2015-04-01,0.27
2015-05-01,0.25
2015-06-01,0.26
2015-07-01,0.28
2015-08-03,0.33
2015-09-01,0.39
2015-10-01,0.31
2015-11-02,0.37
2015-12-01,0.51
2016-01-04,0.61
2016-02-01,0.47
2016-03-01,0.68
2016-04-01,0.62
2016-05-02,0.55
2016-06-01,0.70
2016-07-01,0.45
2016-08-01,0.50
2016-09-01,0.60
2016-10-03,0.63
2016-11-01,0.65
2016-12-01,0.82
2017-01-03,0.89
2017-02-01,0.83
2017-03-01,0.92
2017-04-03,1.02
2017-05-01,1.09
2017-06-01,1.16
2017-07-03,1.24
2017-08-01,1.22
2017-09-01,1.24
2017-10-02,1.31
2017-11-01,1.46
2017-12-01,1.62
2018-01-02,1.83
2018-02-01,1.89
2018-03-01,2.05
2018-04-02,2.08
2018-05-01,2.26
2018-06-01,2.28
2018-07-02,2.34
2018-08-01,2.45
2018-09-04,2.49
2018-10-01,2.60
2018-11-01,2.67
2018-12-03,2.72
2019-01-02,2.60
2019-02-01,2.56
2019-03-01,2.55
2019-04-01,2.41
2019-05-01,2.39
2019-06-03,2.11
2019-07-01,1.94
2019-08-01,1.88
2019-09-03,1.72
2019-10-01,1.73
2019-11-01,1.53
2019-12-02,1.60
2020-01-02,1.56
2020-02-03,1.46
2020-03-02,0.89
2020-04-01,0.16
2020-05-01,0.17
2020-06-01,0.17
2020-07-01,0.16
2020-08-03,0.12
2020-09-01,0.12
2020-10-01,0.12
2020-11-02,0.13
2020-12-01,0.12
2021-01-04,0.10
